DRE 2025	Janeiro				Fevereiro									11		CHECK	
             Resultado  Institucional	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Variação Mensal	YTG			
Resultado Bruto	78607.46357364306	-5170.870866293873			81214.97652674907	61972.318			1436300.5627291838	78607.4635736431	-5170.870866293873					#REF!	#REF!
Margem de bruta	0.46813377578281834	-0.059540461544911744			0.48366238882598755	1			0.7128042459559014	0.4681337757828185	-0.059540461544911744						
																	
Impostos 	25187.500125000002	13026.950242215	12160.549882785002	0.5171990144939006	25187.500125000002	9295.8477			302250.0015	25187.500125000002	13026.950242215					#REF!	
Investimento amortização	2052.884653689726	2378.4891748600344	-325.60452117030854	1.1586082883834157	2052.884653689726	0			35729.95819379094	2052.884653689726	2378.4891748600344						
Resultado Liquido após impostos	51367.07879495333	-20576.310283368908			53974.59174805934	52676.4703			1098320.603035393	51367.07879495336	-20576.310283368908						
Margem liquida	0.3059081600398801	-0.23692779085801904			0.3214367730830493	0.85			0.5450722568658414	0.30590816003988025	-0.23692779085801904						
Reserva bônus	5136.707879495334	-2057.6310283368907			5397.459174805935	5267.64703			109832.0603035393	5136.707879495337	-2057.6310283368907						
																	
											-8687.236000000003					0	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
