set	status	total_count	n_rows_returned
RateioFaturaProfissionalViews	200	19606	1
ResponsavelDesbloqueioViews	200	0	0
ReservaOrcamentoViews	200	0	0
RequisicaoViews	200	0	0
RequisicaoEscritorioViews	200	0	0
ReservaOrcamentoComboViews	200	0	0
RequisicaoMaterialViews	200	0	0
RevisaoFixoParcelaViews	200	0	0
RevisaoFixoViews	200	0	0
PreFaturaAcaoDetalhadaViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
RemanejamentoProjetoViews	200	0	0
RevisaoFinalizadoFixoViews	200	0	0
RevisaoTimesheetPorCasoGridViews	200	0	0
ResumoHistoricoViews	200	177	1
RitoViews	200	9	1
RuleRegistryViews	200	None	242
RateioGerencialViews	200	33911	1
RevisaoFixoAlocacaoViews	200	0	0
RevisaoTimesheetViews	200	55603	1
ServicoViews	200	0	0
SegmentoViews	200	24	1
SaldoHoraViews	200	0	0
SituacaoCompromissoViews	200	3	1
SituacaoMovimentacaoFinanceiraViews	200	8	1
RateioFaturaCasoViews	200	9030	1
SituacaoRetornoViews	200	6	1
ContatoViews	200	0	0
AutoAprovacaoViews	200	0	0
SobreporVigenciaViews	400	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Value cannot be null.\r\nParameter name: i	0
SolicitacaoDespesaRevisorViews	200	69	1
RevisaoTimesheetFixoViews	200	55603	1
ClienteContatoViews	200	0	0
SolicitacaoPagamentoAprovadorViews	200	0	0
SolicitacaoDespesaViews	200	0	0
SolicitacaoPagamentoItemAprovacaoViews	200	0	0
SubAreaJuridicaViews	200	23	1
SolicitacaoPagamentoViews	200	0	0
TabelaRateioHistoricoViews	200	0	0
TabelaServicoViews	200	0	0
TabelaServicoDetalheViews	200	0	0
SolicitacaoPagamentoItemContaFinanceiraViews	200	0	0
TipoCobrancaViews	200	9	1
TabelaRateioViews	200	1	1
TipoCompromissoViews	200	5	1
TipoContaViews	200	8	1
TemporalidadeViews	200	0	0
TipoContratoViews	200	0	0
TipoDespesaViews	200	34	1
SolicitacaoPagamentoItemViews	200	0	0
TipoAssuntoViews	200	7	1
TermoPublicacaoViews	200	0	0
RateioFaturaOriginalViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
TipoAssuntoPerfilViews	200	7	1
TermoPublicacaoVariacaoViews	200	0	0
TermoPublicacaoPalavraBloqueadaViews	200	0	0
TermoPublicacaoPalavraObrigatoriaViews	200	0	0
TermoPublicacaoAbrangenciaViews	200	0	0
TipoProcessoViews	200	0	0
AssuntoCnjViews	200	4109	1
TipoDocumentoViews	200	3	1
TipoHistoricoViews	200	0	0
ClasseCnjViews	200	609	1
TipoHoraCasoViews	200	0	0
TipoHoraCasoProfissionalViews	200	0	0
TipoOcorrenciaViews	200	0	0
TipoAtividadeViews	200	24	1
TipoMovimentacaoFinanceiraViews	200	7	1
TipoHoraViews	200	0	0
TipoPedidoViews	200	304	1
CategoriaMovimentacaoFinanceiraViews	200	4	1
TipoOriginacaoViews	200	2	1
TipoPedidoValorViews	200	3	1
TipoPrestacaoContasViews	200	0	0
TipoResponsabilidadeViews	200	5	1
