name	method	return_type	entity_set	n_params	params
Aprovar	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultDiscrepanciaView), ids:Edm.String, motivo:Edm.String
Reprovar	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultDiscrepanciaView), ids:Edm.String, motivo:Edm.String
BatchDelete	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultExcecaoReceitaAlocacaoView), anoMes:Edm.String
IsDateUtil	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultFeriadoView), empresa:Edm.String, dateTarget:Edm.DateTimeOffset, qntDiasVencimento:Edm.String
GetFeriadosPoliticaVencimento	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultFeriadoView)
GetPlanoContas	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultFornecedorPlanoContaView), fornecedorArr:Edm.String
CheckDependencies	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGerenciaView), gerenciaId:Edm.String
GetPlanejamento	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGerenciaCentroCustoView), gerenciaId:Edm.String, grupoJuridicoId:Edm.String
CheckGrupoJuridico	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGerenciaCentroCustoView), gerenciaId:Edm.String, grupoJuridicoId:Edm.String
ImportaDistribuicaoLData	GET			7	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultLDataDistribuicaoView), lDataDistribuicaoId:Edm.String, clienteId:Edm.String, casoId:Edm.String, contratoId:Edm.String, tipoAssuntoId:Edm.String, perfilId:Edm.String
ImportaDistribuicaoLDataEmLote	GET			7	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultLDataDistribuicaoView), lDataDistribuicaoId:Edm.String, clienteId:Edm.String, casoId:Edm.String, contratoId:Edm.String, tipoAssuntoId:Edm.String, perfilId:Edm.String
SendNotification	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGrupoAvaliacaoConflitoView), userOrigemId:Edm.String, oportunidadeId:Edm.String
GetGrupoConflitoProfissionaisAvaliacao	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGrupoAvaliacaoConflitoView), oportunidadeId:Edm.String
CheckParametersProfGrupoConflito	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGrupoAvaliacaoConflitoView), profissionalId:Edm.String, oportunidadeId:Edm.String
GetGrupoConflitoProfissionaisPrazo	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGrupoAvaliacaoConflitoView), oportunidadeId:Edm.String
GetProfessionals	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultGrupoTrabalhoView), ids:Edm.String, filtroPor:Edm.String
Actions	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultHistPlanejamentoOrcamentoView), id:Edm.String, action:Edm.String
ImportPublicacoes	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), filePath:Edm.String, layoutId:Edm.String
ReSearchProcessos	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), searchKind:Edm.String, publicacaoId:Edm.String, hasFilter:Edm.String
ConvertToAndamentos	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), publicacaoId:Edm.String, atoId:Edm.String, substituirAto:Edm.String, responsaveis:Edm.String
Consultar	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), codigoAssociado:Edm.String, data:Edm.String
ConsultaRecorrente	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), codigoAssociado:Edm.String, simOuNao:Edm.String
AddFile	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), filePath:Edm.String, layoutId:Edm.String
RemoveFile	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), fileNames:Edm.String
DeleteAllFiles	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), filePath:Edm.String, layoutId:Edm.String
